,human_symbol,human_ensembl,human_entrez,mouse_symbol,mouse_ensembl,mouse_entrez
7988,ALG6,ENSG00000088035,29929,Alg6,ENSMUSG00000073792,320438
7989,DDX18,ENSG00000088205,8886,Ddx18,ENSMUSG00000001674,66942
7990,DNMT3B,ENSG00000088305,1789,Dnmt3b,ENSMUSG00000027478,13436
7991,SLC15A1,ENSG00000088386,6564,Slc15a1,ENSMUSG00000025557,56643
7992,C3orf18,ENSG00000088543,51161,6430571L13Rik,ENSMUSG00000037977,235599
7993,ARHGAP28,ENSG00000088756,79822,Arhgap28,ENSMUSG00000024043,268970
7994,CRLS1,ENSG00000088766,54675,Crls1,ENSMUSG00000027357,66586
7995,CPXM1,ENSG00000088882,56265,Cpxm1,ENSMUSG00000027408,56264
7996,SLC8B1,ENSG00000089060,80024,Slc8b1,ENSMUSG00000032754,170756
7997,SIRT4,ENSG00000089163,23409,Sirt4,ENSMUSG00000029524,75387
7998,TRMT6,ENSG00000089195,51605,Trmt6,ENSMUSG00000037376,66926
7999,PEBP1,ENSG00000089220,5037,Pbp2,ENSMUSG00000047104,76400
8000,GPATCH2L,ENSG00000089916,55668,Gpatch2l,ENSMUSG00000021254,70373
8001,RGS1,ENSG00000090104,5996,Rgs1,ENSMUSG00000026358,50778
8002,NDUFB2,ENSG00000090266,4708,Ndufb2,ENSMUSG00000002416,68198
8003,CHRD,ENSG00000090539,8646,Chrd,ENSMUSG00000006958,12667
8004,KIF4A,ENSG00000090889,24137,Kif4,ENSMUSG00000034311,16571
8005,DTX2,ENSG00000091073,113878,Dtx2,ENSMUSG00000004947,74198
8006,CMTM6,ENSG00000091317,54918,Cmtm6,ENSMUSG00000032434,67213
8007,SEL1L3,ENSG00000091490,23231,Sel1l3,ENSMUSG00000029189,231238
8008,MYO15A,ENSG00000091536,51168,Myo15,ENSMUSG00000042678,<NA>
8009,ZC3HC1,ENSG00000091732,51530,Zc3hc1,ENSMUSG00000039130,232679
8010,ANGPT2,ENSG00000091879,285,Angpt2,ENSMUSG00000031465,11601
8011,CCDC80,ENSG00000091986,151887,Ccdc80,ENSMUSG00000022665,67896
8012,PSME1,ENSG00000092010,5720,Psme1,ENSMUSG00000022216,19186
8013,RNF31,ENSG00000092098,55072,Rnf31,ENSMUSG00000047098,268749
8014,DAZL,ENSG00000092345,1618,Dazl,ENSMUSG00000010592,13164
8015,SNAP23,ENSG00000092531,8773,Snap23,ENSMUSG00000027287,20619
8016,TEKT2,ENSG00000092850,27285,Tekt2,ENSMUSG00000028845,24084
8017,DPYSL2,ENSG00000092964,1808,Dpysl2,ENSMUSG00000022048,12934
8018,GPATCH2,ENSG00000092978,55105,Gpatch2,ENSMUSG00000039210,67769
8019,CDC45,ENSG00000093009,8318,Cdc45,ENSMUSG00000000028,12544
8020,UPRT,ENSG00000094841,139596,Uprt,ENSMUSG00000073016,331487
8021,FMO2,ENSG00000094963,2327,Fmo2,ENSMUSG00000040170,55990
8022,HOOK2,ENSG00000095066,29911,Hook2,ENSMUSG00000052566,170833
8023,SH2D3C,ENSG00000095370,10044,Sh2d3c,ENSMUSG00000059013,27387
8024,PDE6C,ENSG00000095464,5146,Pde6c,ENSMUSG00000024992,110855
8025,BLNK,ENSG00000095585,29760,Blnk,ENSMUSG00000061132,17060
8026,CRTAC1,ENSG00000095713,55118,Crtac1,ENSMUSG00000042401,72832
8027,NUBP2,ENSG00000095906,10101,Nubp2,ENSMUSG00000039183,26426
8028,FKBP5,ENSG00000096060,2289,Fkbp5,ENSMUSG00000024222,14229
8029,TMEM14A,ENSG00000096092,28978,Tmem14a,ENSMUSG00000025933,75712
8030,EFHC1,ENSG00000096093,114327,Efhc1,ENSMUSG00000041809,71877
8031,SIRT1,ENSG00000096717,23411,Sirt1,ENSMUSG00000020063,93759
8032,ERMP1,ENSG00000099219,79956,Ermp1,ENSMUSG00000046324,226090
8033,RAB18,ENSG00000099246,22931,Rab18,ENSMUSG00000073639,19330
8034,MZF1,ENSG00000099326,7593,Mzf1,ENSMUSG00000030380,109889
8035,KCNK6,ENSG00000099337,9424,Kcnk6,ENSMUSG00000046410,52150
8036,HSD3B7,ENSG00000099377,80270,Hsd3b7,ENSMUSG00000042289,101502
8037,ATP5F1D,ENSG00000099624,513,Atp5d,ENSMUSG00000003072,66043
8038,NDUFB7,ENSG00000099795,4713,Ndufb7,ENSMUSG00000033938,66916
8039,HCN2,ENSG00000099822,610,Hcn2,ENSMUSG00000020331,15166
8040,ZDHHC8,ENSG00000099904,29801,Zdhhc8,ENSMUSG00000060166,27801
8041,SNAP29,ENSG00000099940,9342,Snap29,ENSMUSG00000022765,67474
8042,PPIL2,ENSG00000100023,23759,Ppil2,ENSMUSG00000022771,66053
8043,UPB1,ENSG00000100024,51733,Upb1,ENSMUSG00000033427,103149
8044,SLC35E4,ENSG00000100036,339665,Slc35e4,ENSMUSG00000048807,103710
8045,MFNG,ENSG00000100060,4242,Mfng,ENSMUSG00000018169,17305
8046,GCAT,ENSG00000100116,23464,Gcat,ENSMUSG00000006378,26912
8047,SLC16A8,ENSG00000100156,23539,Slc16a8,ENSMUSG00000032988,57274
8048,KDELR3,ENSG00000100196,11015,Kdelr3,ENSMUSG00000010830,105785
8049,LMF2,ENSG00000100258,91289,Lmf2,ENSMUSG00000022614,105847
8050,HMGXB4,ENSG00000100281,10042,Hmgxb4,ENSMUSG00000034518,70823
8051,CHKB,ENSG00000100288,1120,Chkb,ENSMUSG00000022617,12651
8052,ARSA,ENSG00000100299,410,Arsa,ENSMUSG00000022620,11883
8053,TTLL12,ENSG00000100304,23170,Ttll12,ENSMUSG00000016757,223723
8054,ASCC2,ENSG00000100325,84164,Ascc2,ENSMUSG00000020412,75452
8055,MTMR3,ENSG00000100330,8897,Mtmr3,ENSMUSG00000034354,74302
8056,FOXRED2,ENSG00000100350,80020,Foxred2,ENSMUSG00000016552,239554
8057,GRAP2,ENSG00000100351,9402,Grap2,ENSMUSG00000042351,17444
8058,IFT27,ENSG00000100360,11020,Ift27,ENSMUSG00000016637,67042
8059,UPK3A,ENSG00000100373,7380,Upk3a,ENSMUSG00000022435,22270
8060,CERK,ENSG00000100422,64781,Cerk,ENSMUSG00000035891,223753
8061,ZBED4,ENSG00000100426,9889,Zbed4,ENSMUSG00000034333,223773
8062,SDR39U1,ENSG00000100445,56948,Sdr39u1,ENSMUSG00000022223,654795
8063,COCH,ENSG00000100473,1690,Coch,ENSMUSG00000020953,12810
8064,CGRRF1,ENSG00000100532,10668,Cgrrf1,ENSMUSG00000055128,68755
8065,GSTZ1,ENSG00000100577,2954,Gstz1,ENSMUSG00000021033,14874
8066,TMED8,ENSG00000100580,283578,Tmed8,ENSMUSG00000034111,382620
8067,LGMN,ENSG00000100600,5641,Lgmn,ENSMUSG00000021190,19141
8068,ALKBH1,ENSG00000100601,8846,Alkbh1,ENSMUSG00000079036,211064
8069,ALKBH1,ENSG00000100601,8846,Alkbh1,ENSMUSG00000079036,654309
8070,SNW1,ENSG00000100603,22938,Snw1,ENSMUSG00000021039,66354
8071,PPM1A,ENSG00000100614,5494,Ppm1a,ENSMUSG00000021096,19042
8072,HIF1A,ENSG00000100644,3091,Hif1a,ENSMUSG00000021109,15251
8073,VRK1,ENSG00000100749,7443,Vrk1,ENSMUSG00000021115,22367
8074,C14orf93,ENSG00000100802,60686,4931414P19Rik,ENSMUSG00000022179,74359
8075,ACIN1,ENSG00000100813,22985,Acin1,ENSMUSG00000022185,56215
8076,TRIP11,ENSG00000100815,9321,Trip11,ENSMUSG00000021188,109181
8077,NFATC4,ENSG00000100968,4776,Nfatc4,ENSMUSG00000023411,73181
8078,UQCC1,ENSG00000101019,55245,Uqcc1,ENSMUSG00000005882,56046
8079,MYBL2,ENSG00000101057,4605,Mybl2,ENSMUSG00000017861,17865
8080,TPD52L2,ENSG00000101150,7165,Tpd52l2,ENSMUSG00000000827,66314
8081,CTSZ,ENSG00000101160,1522,Ctsz,ENSMUSG00000016256,64138
8082,NTSR1,ENSG00000101188,4923,Ntsr1,ENSMUSG00000027568,18216
8083,TCFL5,ENSG00000101190,10732,Tcfl5,ENSMUSG00000038932,277353
8084,NKAIN4,ENSG00000101198,128414,Nkain4,ENSMUSG00000027574,58237
8085,ARFGAP1,ENSG00000101199,55738,Arfgap1,ENSMUSG00000027575,228998
8086,CHRNA4,ENSG00000101204,1137,Chrna4,ENSMUSG00000027577,11438
8087,RNF24,ENSG00000101236,11237,Rnf24,ENSMUSG00000048911,51902
8088,NDUFAF5,ENSG00000101247,79133,Ndufaf5,ENSMUSG00000027384,69487
8089,SNPH,ENSG00000101298,9751,Snph,ENSMUSG00000027457,241727
8090,TLDC2,ENSG00000101342,140711,Tldc2,ENSMUSG00000074628,383766
8091,OXT,ENSG00000101405,5020,Oxt,ENSMUSG00000027301,18429
8092,TTI1,ENSG00000101407,9675,Tti1,ENSMUSG00000027650,75425
8093,E2F1,ENSG00000101412,1869,E2f1,ENSMUSG00000027490,13555
8094,MAP1LC3A,ENSG00000101460,84557,Map1lc3a,ENSMUSG00000027602,66734
8095,ACOT8,ENSG00000101473,10005,Acot8,ENSMUSG00000017307,170789
8096,SMCHD1,ENSG00000101596,23347,Smchd1,ENSMUSG00000024054,74355
8097,MYOM1,ENSG00000101605,8736,Myom1,ENSMUSG00000024049,17929
8098,ST8SIA5,ENSG00000101638,29906,St8sia5,ENSMUSG00000025425,225742
8099,RENBP,ENSG00000102032,5973,Renbp,ENSMUSG00000031387,19703
8100,OPN1LW,ENSG00000102076,5956,Opn1mw,ENSMUSG00000031394,14539
8101,SLC25A14,ENSG00000102078,9016,Slc25a14,ENSMUSG00000031105,20523
8102,PCSK1N,ENSG00000102109,27344,Pcsk1n,ENSMUSG00000039278,30052
8103,GATA1,ENSG00000102145,2623,Gata1,ENSMUSG00000031162,14460
8104,EEA1,ENSG00000102189,8411,Eea1,ENSMUSG00000036499,216238
8105,CDK16,ENSG00000102225,5127,Cdk16,ENSMUSG00000031065,18555
8106,BRS3,ENSG00000102239,680,Brs3,ENSMUSG00000031130,12209
8107,KLHL4,ENSG00000102271,56062,Klhl4,ENSMUSG00000025597,237010
8108,MAGED2,ENSG00000102316,10916,Maged2,ENSMUSG00000025268,80884
8109,KLF8,ENSG00000102349,11279,Klf8,ENSMUSG00000041649,245671
8110,NDFIP2,ENSG00000102471,54602,Ndfip2,ENSMUSG00000053253,76273
8111,ACP5,ENSG00000102575,54,Acp5,ENSMUSG00000001348,11433
8112,ARHGEF7,ENSG00000102606,8874,Arhgef7,ENSMUSG00000031511,54126
8113,SGCG,ENSG00000102683,6445,Sgcg,ENSMUSG00000035296,24053
8114,RGCC,ENSG00000102760,28984,Rgcc,ENSMUSG00000022018,66214
8115,VWA8,ENSG00000102763,23078,Vwa8,ENSMUSG00000058997,219189
8116,DGKH,ENSG00000102780,160851,Dgkh,ENSMUSG00000034731,380921
8117,TSC22D1,ENSG00000102804,8848,Tsc22d1,ENSMUSG00000022010,21807
8118,ZNF629,ENSG00000102870,23361,Zfp629,ENSMUSG00000045639,320683
8119,HSF4,ENSG00000102878,3299,Hsf4,ENSMUSG00000033249,26386
8120,ELMO3,ENSG00000102890,79767,Elmo3,ENSMUSG00000014791,234683
8121,MMP15,ENSG00000102996,4324,Mmp15,ENSMUSG00000031790,17388
8122,NDRG4,ENSG00000103034,65009,Ndrg4,ENSMUSG00000036564,234593
8123,FA2H,ENSG00000103089,79152,Fa2h,ENSMUSG00000033579,338521
8124,AXIN1,ENSG00000103126,8312,Axin1,ENSMUSG00000024182,12005
8125,NECAB2,ENSG00000103154,54550,Necab2,ENSMUSG00000031837,117148
8126,NME4,ENSG00000103202,4833,Nme4,ENSMUSG00000024177,56520
8127,FBXO31,ENSG00000103264,79791,Fbxo31,ENSMUSG00000052934,76454
8128,CAPN15,ENSG00000103326,6650,Capn15,ENSMUSG00000037326,50817
8129,CLUAP1,ENSG00000103351,23059,Cluap1,ENSMUSG00000014232,76779
8130,CLUAP1,ENSG00000103351,23059,Gm20695,ENSMUSG00000093575,<NA>
8131,GGA2,ENSG00000103365,23062,Gga2,ENSMUSG00000030872,74105
8132,QPRT,ENSG00000103485,23475,Qprt,ENSMUSG00000030674,67375
8133,MAZ,ENSG00000103495,4150,Maz,ENSMUSG00000030678,17188
8134,VPS35L,ENSG00000103544,57020,Vps35l,ENSMUSG00000030982,71517
8135,AAGAB,ENSG00000103591,79719,Aagab,ENSMUSG00000037257,66939
8136,ACSBG1,ENSG00000103740,23205,Acsbg1,ENSMUSG00000032281,94180
8137,CTSH,ENSG00000103811,1512,Ctsh,ENSMUSG00000032359,13036
8138,ATP8B4,ENSG00000104043,79895,Atp8b4,ENSMUSG00000060131,241633
8139,TGM5,ENSG00000104055,9333,Tgm5,ENSMUSG00000053675,74176
8140,BRF2,ENSG00000104221,55290,Brf2,ENSMUSG00000031487,66653
8141,RIPK2,ENSG00000104312,8767,Ripk2,ENSMUSG00000041135,192656
8142,DECR1,ENSG00000104325,1666,Decr1,ENSMUSG00000028223,67460
8143,NIPAL2,ENSG00000104361,79815,Nipal2,ENSMUSG00000038879,223473
8144,ZC2HC1A,ENSG00000104427,51101,Zc2hc1a,ENSMUSG00000043542,67306
8145,SNX16,ENSG00000104497,64089,Snx16,ENSMUSG00000027534,74718
8146,EEF1D,ENSG00000104529,1936,Eef1d,ENSMUSG00000055762,66656
8147,SQLE,ENSG00000104549,6713,Sqle,ENSMUSG00000022351,20775
8148,ERI1,ENSG00000104626,90459,Eri1,ENSMUSG00000031527,67276
8149,SLC39A14,ENSG00000104635,23516,Slc39a14,ENSMUSG00000022094,213053
8150,DCTN6,ENSG00000104671,10671,Dctn6,ENSMUSG00000031516,22428
8151,KCNN4,ENSG00000104783,3783,Kcnn4,ENSMUSG00000054342,16534
8152,MAP4K1,ENSG00000104814,11184,Map4k1,ENSMUSG00000037337,26411
8153,NFKBIB,ENSG00000104825,4793,Nfkbib,ENSMUSG00000030595,18036
8154,SARS2,ENSG00000104835,54938,Sars2,ENSMUSG00000070699,71984
8155,PPP1R37,ENSG00000104866,284352,Ppp1r37,ENSMUSG00000051403,232947
8156,DOT1L,ENSG00000104885,84444,Dot1l,ENSMUSG00000061589,208266
8157,OAZ1,ENSG00000104904,4946,Oaz1,ENSMUSG00000035242,18245
8158,TRMT1,ENSG00000104907,55621,Trmt1,ENSMUSG00000001909,212528
8159,CCDC61,ENSG00000104983,729440,Ccdc61,ENSMUSG00000074358,232933
8160,PPP6R1,ENSG00000105063,22870,Ppp6r1,ENSMUSG00000052296,243819
8161,MED26,ENSG00000105085,9441,Med26,ENSMUSG00000045248,70625
8162,EPHX3,ENSG00000105131,79852,Ephx3,ENSMUSG00000037577,71932
8163,ILVBL,ENSG00000105135,10994,Ilvbl,ENSMUSG00000032763,216136
8164,POP4,ENSG00000105171,10775,Pop4,ENSMUSG00000030423,66161
8165,GPI,ENSG00000105220,2821,Gpi1,ENSMUSG00000036427,14751
8166,SLC1A5,ENSG00000105281,6510,Slc1a5,ENSMUSG00000001918,20514
8167,CACTIN,ENSG00000105298,58509,Cactin,ENSMUSG00000034889,70312
8168,ICAM5,ENSG00000105376,7087,Icam5,ENSMUSG00000032174,15898
8169,CLEC11A,ENSG00000105472,6320,Clec11a,ENSMUSG00000004473,20256
8170,LIG1,ENSG00000105486,3978,Lig1,ENSMUSG00000056394,16881
8171,BCAT2,ENSG00000105552,587,Bcat2,ENSMUSG00000030826,12036
8172,GCDH,ENSG00000105607,2639,Gcdh,ENSMUSG00000003809,270076
8173,KCNN1,ENSG00000105642,3780,Kcnn1,ENSMUSG00000002908,84036
8174,COPE,ENSG00000105669,11316,Cope,ENSMUSG00000055681,59042
8175,MAG,ENSG00000105695,4099,Mag,ENSMUSG00000036634,17136
8176,ZNF574,ENSG00000105732,64763,Zfp574,ENSMUSG00000045252,232976
8177,GRIK5,ENSG00000105737,2901,Grik5,ENSMUSG00000003378,14809
8178,CFAP69,ENSG00000105792,79846,Cfap69,ENSMUSG00000040473,207686
8179,RASA4,ENSG00000105808,10156,Rasa4,ENSMUSG00000004952,54153
8180,DNAH11,ENSG00000105877,8701,Dnah11,ENSMUSG00000018581,13411
8181,ATP6V0A4,ENSG00000105929,50617,Atp6v0a4,ENSMUSG00000038600,140494
8182,ADAP1,ENSG00000105963,11033,Adap1,ENSMUSG00000056413,231821
8183,DNAJB6,ENSG00000105993,10049,Dnajb6,ENSMUSG00000029131,23950
8184,VIPR2,ENSG00000106018,7434,Vipr2,ENSMUSG00000011171,22355
8185,SSBP1,ENSG00000106028,6742,Ssbp1,ENSMUSG00000029911,381760
8186,TAX1BP1,ENSG00000106052,8887,Tax1bp1,ENSMUSG00000004535,52440
8187,CRHR2,ENSG00000106113,1395,Crhr2,ENSMUSG00000003476,12922
8188,CHCHD2,ENSG00000106153,51142,Chchd2,ENSMUSG00000070493,14004
8189,SNX8,ENSG00000106266,29886,Snx8,ENSMUSG00000029560,231834
8190,AIMP2,ENSG00000106305,7965,Aimp2,ENSMUSG00000029610,231872
8191,TFR2,ENSG00000106327,7036,Tfr2,ENSMUSG00000029716,50765
8192,FSCN3,ENSG00000106328,29999,Fscn3,ENSMUSG00000029707,56223
8193,IMPDH1,ENSG00000106348,3614,Impdh1,ENSMUSG00000003500,23917
8194,CEP41,ENSG00000106477,95681,Cep41,ENSMUSG00000029790,83922
8195,POU6F2,ENSG00000106536,11281,Pou6f2,ENSMUSG00000009734,218030
8196,GLI3,ENSG00000106571,2737,Gli3,ENSMUSG00000021318,14634
8197,URGCP,ENSG00000106608,55665,Urgcp,ENSMUSG00000049680,72046
8198,TBL2,ENSG00000106638,26608,Tbl2,ENSMUSG00000005374,27368
8199,CORO2A,ENSG00000106789,7464,Coro2a,ENSMUSG00000028337,107684
8200,OGN,ENSG00000106809,4969,Ogn,ENSMUSG00000021390,18295
8201,AK1,ENSG00000106992,203,Ak1,ENSMUSG00000026817,11636
8202,KDM4C,ENSG00000107077,23081,Kdm4c,ENSMUSG00000028397,76804
8203,KANK1,ENSG00000107104,23189,Kank1,ENSMUSG00000032702,107351
8204,TYRP1,ENSG00000107165,7306,Tyrp1,ENSMUSG00000005994,22178
8205,MPDZ,ENSG00000107186,8777,Mpdz,ENSMUSG00000028402,17475
8206,GLIS3,ENSG00000107249,169792,Glis3,ENSMUSG00000052942,226075
8207,EXOSC3,ENSG00000107371,51010,Exosc3,ENSMUSG00000028322,66362
8208,RASSF4,ENSG00000107551,83937,Rassf4,ENSMUSG00000042129,213391
8209,SEC23IP,ENSG00000107651,11196,Sec23ip,ENSMUSG00000055319,207352
8210,TWNK,ENSG00000107815,56652,Twnk,ENSMUSG00000025209,226153
8211,KAZALD1,ENSG00000107821,81621,Kazald1,ENSMUSG00000025213,107250
8212,FGF8,ENSG00000107831,2253,Fgf8,ENSMUSG00000025219,14179
8213,NPM3,ENSG00000107833,10360,Npm3,ENSMUSG00000056209,18150
8214,ARHGAP21,ENSG00000107863,57584,Arhgap21,ENSMUSG00000036591,71435
8215,CUEDC2,ENSG00000107874,79004,Cuedc2,ENSMUSG00000036748,67116
8216,LHPP,ENSG00000107902,64077,Lhpp,ENSMUSG00000030946,76429
8217,PITRM1,ENSG00000107959,10531,Pitrm1,ENSMUSG00000021193,69617
8218,DKK1,ENSG00000107984,22943,Dkk1,ENSMUSG00000024868,13380
8219,PBLD,ENSG00000108187,64081,Pbld2,ENSMUSG00000020072,67307
8220,ASPA,ENSG00000108381,443,Aspa,ENSMUSG00000020774,11484
8221,TUBD1,ENSG00000108423,51174,Tubd1,ENSMUSG00000020513,56427
8222,TRIM16L,ENSG00000108448,<NA>,Trim16,ENSMUSG00000047821,94092
8223,CDK5RAP3,ENSG00000108465,80279,Cdk5rap3,ENSMUSG00000018669,80280
8224,CAMTA2,ENSG00000108509,23125,Camta2,ENSMUSG00000040712,216874
8225,C1QBP,ENSG00000108561,708,C1qbp,ENSMUSG00000018446,12261
8226,FTSJ3,ENSG00000108592,117246,Ftsj3,ENSMUSG00000020706,56095
8227,UTP6,ENSG00000108651,55813,Utp6,ENSMUSG00000035575,216987
8228,RAB5C,ENSG00000108774,5878,Rab5c,ENSMUSG00000019173,19345
8229,NAGLU,ENSG00000108784,4669,Naglu,ENSMUSG00000001751,27419
8230,ABI3,ENSG00000108798,51225,Abi3,ENSMUSG00000018381,66610
8231,PTGES3L-AARSD1,ENSG00000108825,100885850,Gm27029,ENSMUSG00000097239,<NA>
8232,PTGES3L-AARSD1,ENSG00000108825,100885850,Aarsd1,ENSMUSG00000075528,69684
8233,MRPL27,ENSG00000108826,51264,Mrpl27,ENSMUSG00000024414,94064
8234,ALOX12,ENSG00000108839,239,Alox12,ENSMUSG00000000320,11684
8235,CACNG1,ENSG00000108878,786,Cacng1,ENSMUSG00000020722,12299
8236,SLC16A6,ENSG00000108932,9120,Slc16a6,ENSMUSG00000041920,104681
8237,FAM20A,ENSG00000108950,54757,Fam20a,ENSMUSG00000020614,208659
8238,DPH1,ENSG00000108963,1801,Dph1,ENSMUSG00000078789,116905
8239,SLC9A3R1,ENSG00000109062,<NA>,Slc9a3r1,ENSMUSG00000020733,<NA>
8240,IFT20,ENSG00000109083,90410,Ift20,ENSMUSG00000001105,55978
8241,TMEM97,ENSG00000109084,27346,Tmem97,ENSMUSG00000037278,69071
8242,PMP22,ENSG00000109099,5376,Pmp22,ENSMUSG00000018217,18858
8243,FOXN1,ENSG00000109101,8456,Foxn1,ENSMUSG00000002057,15218
8244,OCIAD1,ENSG00000109180,54940,Ociad1,ENSMUSG00000029152,68095
8245,CWH43,ENSG00000109182,80157,Cwh43,ENSMUSG00000029154,231293
8246,NFKB1,ENSG00000109320,4790,Nfkb1,ENSMUSG00000028163,18033
8247,WFS1,ENSG00000109501,7466,Wfs1,ENSMUSG00000039474,22393
8248,NKX3-2,ENSG00000109705,579,Nkx3-2,ENSMUSG00000049691,12020
8249,LRP2BP,ENSG00000109771,55805,Lrp2bp,ENSMUSG00000031637,67620
8250,UFSP2,ENSG00000109775,55325,Ufsp2,ENSMUSG00000031634,192169
8251,FNBP4,ENSG00000109920,23360,Fnbp4,ENSMUSG00000008200,55935
8252,SC5D,ENSG00000109929,6309,Sc5d,ENSMUSG00000032018,235293
8253,SNX15,ENSG00000110025,29907,Snx15,ENSMUSG00000024787,69024
8254,LPXN,ENSG00000110031,9404,Lpxn,ENSMUSG00000024696,107321
8255,ATG2A,ENSG00000110046,23130,Atg2a,ENSMUSG00000024773,329015
8256,PUS3,ENSG00000110060,83480,Pus3,ENSMUSG00000032103,67049
8257,KMT5B,ENSG00000110066,51111,Kmt5b,ENSMUSG00000045098,225888
8258,CPT1A,ENSG00000110090,1374,Cpt1a,ENSMUSG00000024900,12894
8259,PANX1,ENSG00000110218,24145,Panx1,ENSMUSG00000031934,55991
8260,ARHGEF17,ENSG00000110237,9828,Arhgef17,ENSMUSG00000032875,207212
8261,BIRC2,ENSG00000110330,329,Birc2,ENSMUSG00000057367,11797
8262,UPK2,ENSG00000110375,7379,Upk2,ENSMUSG00000041523,22269
8263,PDHX,ENSG00000110435,8050,Pdhx,ENSMUSG00000010914,27402
8264,ACCS,ENSG00000110455,84680,Accs,ENSMUSG00000040272,329470
8265,MDK,ENSG00000110492,4192,Mdk,ENSMUSG00000027239,17242
8266,TCIRG1,ENSG00000110719,10312,Tcirg1,ENSMUSG00000001750,27060
8267,PTPN5,ENSG00000110786,84867,Ptpn5,ENSMUSG00000030854,19259
8268,VWF,ENSG00000110799,7450,Vwf,ENSMUSG00000001930,22371
8269,PSMD9,ENSG00000110801,5715,Psmd9,ENSMUSG00000029440,67151
8270,P3H3,ENSG00000110811,10536,P3h3,ENSMUSG00000023191,14789
8271,PPFIBP1,ENSG00000110841,8496,Ppfibp1,ENSMUSG00000016487,67533
8272,COQ5,ENSG00000110871,84274,Coq5,ENSMUSG00000041733,52064
8273,SLC11A2,ENSG00000110911,4891,Slc11a2,ENSMUSG00000023030,18174
8274,BCL7A,ENSG00000110987,605,Bcl7a,ENSMUSG00000029438,77045
8275,KRT18,ENSG00000111057,3875,Krt18,ENSMUSG00000023043,16668
8276,GLI1,ENSG00000111087,2735,Gli1,ENSMUSG00000025407,14632
8277,VPS29,ENSG00000111237,51699,Vps29,ENSMUSG00000029462,56433
8278,OGFOD2,ENSG00000111325,79676,Ogfod2,ENSMUSG00000023707,66627
8279,RASAL1,ENSG00000111344,8437,Rasal1,ENSMUSG00000029602,19415
8280,ARHGDIB,ENSG00000111348,397,Arhgdib,ENSMUSG00000030220,11857
8281,SLC38A1,ENSG00000111371,81539,Slc38a1,ENSMUSG00000023169,105727
8282,UHRF1BP1L,ENSG00000111647,<NA>,Uhrf1bp1l,ENSMUSG00000019951,75089
8283,GNPTAB,ENSG00000111670,79158,Gnptab,ENSMUSG00000035311,432486
8284,PTPN6,ENSG00000111679,5777,Ptpn6,ENSMUSG00000004266,15170
8285,COX6A1,ENSG00000111775,1337,Cox6a1,ENSMUSG00000041697,12861
8286,MAK,ENSG00000111837,4117,Mak,ENSMUSG00000021363,17152
8287,TMEM14C,ENSG00000111843,51522,Tmem14c,ENSMUSG00000021361,66154
8288,CEP85L,ENSG00000111860,387119,Cep85l,ENSMUSG00000038594,100038725
8289,HDDC2,ENSG00000111906,51020,Hddc2,ENSMUSG00000000295,69692
8290,SASH1,ENSG00000111961,23328,Sash1,ENSMUSG00000015305,70097
8291,MRPL18,ENSG00000112110,29074,Mrpl18,ENSMUSG00000057388,67681
8292,MDN1,ENSG00000112159,23195,Mdn1,ENSMUSG00000058006,100019
8293,FHL5,ENSG00000112214,9457,Fhl5,ENSMUSG00000028259,57756
8294,PRDM13,ENSG00000112238,59336,Prdm13,ENSMUSG00000040478,230025
8295,BVES,ENSG00000112276,11149,Bves,ENSMUSG00000071317,23828
8296,ACOT13,ENSG00000112304,55856,Acot13,ENSMUSG00000006717,66834
8297,SMAP1,ENSG00000112305,60682,Smap1,ENSMUSG00000026155,98366
8298,SLC16A10,ENSG00000112394,117247,Slc16a10,ENSMUSG00000019838,72472
8299,SLC39A7,ENSG00000112473,7922,Slc39a7,ENSMUSG00000024327,14977
8300,SLC22A2,ENSG00000112499,6582,Slc22a2,ENSMUSG00000040966,20518
8301,BICRAL,ENSG00000112624,23506,Bicral,ENSMUSG00000036568,210982
8302,MRPL2,ENSG00000112651,51069,Mrpl2,ENSMUSG00000002767,27398
8303,CUL9,ENSG00000112659,23113,Cul9,ENSMUSG00000040327,78309
8304,HARS2,ENSG00000112855,23438,Hars2,ENSMUSG00000019143,70791
8305,NME5,ENSG00000112981,8382,Nme5,ENSMUSG00000035984,75533
8306,KIF20A,ENSG00000112984,10112,Kif20a,ENSMUSG00000003779,19348
8307,LOX,ENSG00000113083,4015,Lox,ENSMUSG00000024529,16948
8308,TMCO6,ENSG00000113119,55374,Tmco6,ENSMUSG00000006850,71983
8309,PDE8B,ENSG00000113231,8622,Pde8b,ENSMUSG00000021684,218461
8310,TTC1,ENSG00000113312,7265,Ttc1,ENSMUSG00000041278,66827
8311,RASGRF2,ENSG00000113319,5924,Rasgrf2,ENSMUSG00000021708,19418
8312,AGXT2,ENSG00000113492,64902,Agxt2,ENSMUSG00000089678,268782
8313,HMGXB3,ENSG00000113716,22993,Hmgxb3,ENSMUSG00000024622,106894
8314,PDGFRB,ENSG00000113721,5159,Pdgfrb,ENSMUSG00000024620,18596
8315,CDX1,ENSG00000113722,1044,Cdx1,ENSMUSG00000024619,12590
8316,STC2,ENSG00000113739,8614,Stc2,ENSMUSG00000020303,20856
8317,TBCCD1,ENSG00000113838,55171,Tbccd1,ENSMUSG00000004462,70573
8318,AMOTL2,ENSG00000114019,51421,Amotl2,ENSMUSG00000032531,56332
