,mouse_symbol,mouse_ensembl,mouse_entrez,human_symbol,human_ensembl,human_entrez
11074,Rps15a,ENSMUSG00000008683,267019,RPS15A,ENSG00000134419,6210
11075,Ncaph2,ENSMUSG00000008690,52683,NCAPH2,ENSG00000025770,29781
11076,Gprc5b,ENSMUSG00000008734,64297,GPRC5B,ENSG00000167191,51704
11077,Hdac5,ENSMUSG00000008855,15184,HDAC5,ENSG00000108840,10014
11078,Clec3a,ENSMUSG00000008874,403395,CLEC3A,ENSG00000166509,10143
11079,Pdcl,ENSMUSG00000009030,67466,PDCL,ENSG00000136940,5082
11080,Gnat2,ENSMUSG00000009108,14686,GNAT2,ENSG00000134183,2780
11081,2610028H24Rik,ENSMUSG00000009114,76964,C21orf58,ENSG00000160298,54058
11082,Nav1,ENSMUSG00000009418,215690,NAV1,ENSG00000134369,89796
11083,St6galnac1,ENSMUSG00000009588,20445,ST6GALNAC1,ENSG00000070526,55808
11084,Ubp1,ENSMUSG00000009741,22221,UBP1,ENSG00000153560,7342
11085,Cox4i2,ENSMUSG00000009876,84682,COX4I2,ENSG00000131055,84701
11086,Nxf2,ENSMUSG00000009941,83454,NXF5,ENSG00000126952,<NA>
11087,Nedd8,ENSMUSG00000010376,18002,NEDD8,ENSG00000129559,4738
11088,Mrpl52,ENSMUSG00000010406,68836,MRPL52,ENSG00000172590,122704
11089,Eya4,ENSMUSG00000010461,14051,EYA4,ENSG00000112319,2070
11090,Mettl16,ENSMUSG00000010554,67493,METTL16,ENSG00000127804,79066
11091,Pigyl,ENSMUSG00000010607,66268,PIGY,ENSG00000255072,84992
11092,Acaa1b,ENSMUSG00000010651,235674,ACAA1,ENSG00000060971,30
11093,Plcd1,ENSMUSG00000010660,18799,PLCD1,ENSG00000187091,5333
11094,Cfap97d1,ENSMUSG00000010841,75437,CFAP97D1,ENSG00000231256,284067
11095,Pdhx,ENSMUSG00000010914,27402,PDHX,ENSG00000110435,8050
11096,Akt1s1,ENSMUSG00000011096,67605,AKT1S1,ENSG00000204673,84335
11097,Tbrg1,ENSMUSG00000011114,21376,TBRG1,ENSG00000154144,84897
11098,Brf1,ENSMUSG00000011158,72308,BRF1,ENSG00000185024,2972
11099,Vipr2,ENSMUSG00000011171,22355,VIPR2,ENSG00000106018,7434
11100,Slc25a41,ENSMUSG00000011486,103775,SLC25A41,ENSG00000181240,284427
11101,Evi5,ENSMUSG00000011831,14020,EVI5,ENSG00000067208,7813
11102,Gltp,ENSMUSG00000011884,56356,GLTP,ENSG00000139433,51228
11103,Ccnt1,ENSMUSG00000011960,12455,CCNT1,ENSG00000129315,904
11104,4930579F01Rik,ENSMUSG00000012042,67741,C4orf17,ENSG00000138813,84103
11105,Mogat1,ENSMUSG00000012187,68393,MOGAT1,ENSG00000124003,116255
11106,Tex22,ENSMUSG00000012211,75671,TEX22,ENSG00000226174,647310
11107,Ehf,ENSMUSG00000012350,13661,EHF,ENSG00000135373,26298
11108,Mlkl,ENSMUSG00000012519,74568,MLKL,ENSG00000168404,197259
11109,Phox2b,ENSMUSG00000012520,18935,PHOX2B,ENSG00000109132,8929
11110,Adgrl1,ENSMUSG00000013033,330814,ADGRL1,ENSG00000072071,22859
11111,Atp6v0d1,ENSMUSG00000013160,11972,ATP6V0D1,ENSG00000159720,9114
11112,Ptprs,ENSMUSG00000013236,19280,PTPRS,ENSG00000105426,5802
11113,Ndufs2,ENSMUSG00000013593,226646,NDUFS2,ENSG00000158864,4720
11114,Sh3bp5l,ENSMUSG00000013646,79566,SH3BP5L,ENSG00000175137,80851
11115,Elof1,ENSMUSG00000013822,66126,ELOF1,ENSG00000130165,84337
11116,Med16,ENSMUSG00000013833,216154,MED16,ENSG00000175221,10025
11117,St3gal1,ENSMUSG00000013846,20442,ST3GAL1,ENSG00000008513,6482
11118,Tmem259,ENSMUSG00000013858,216157,TMEM259,ENSG00000182087,91304
11119,Clip3,ENSMUSG00000013921,76686,CLIP3,ENSG00000105270,25999
11120,Dedd,ENSMUSG00000013973,21945,DEDD,ENSG00000158796,9191
11121,Nit1,ENSMUSG00000013997,27045,NIT1,ENSG00000158793,4817
11122,Rnf168,ENSMUSG00000014074,70238,RNF168,ENSG00000163961,165918
11123,Zfp385c,ENSMUSG00000014198,278304,ZNF385C,ENSG00000187595,201181
11124,Pigl,ENSMUSG00000014245,327942,PIGL,ENSG00000108474,9487
11125,Ndufa2,ENSMUSG00000014294,17991,NDUFA2,ENSG00000131495,4695
11126,Csf1,ENSMUSG00000014599,12977,CSF1,ENSG00000184371,1435
11127,Strip1,ENSMUSG00000014601,229707,STRIP1,ENSG00000143093,85369
11128,Kif1a,ENSMUSG00000014602,16560,KIF1A,ENSG00000130294,547
11129,Alx3,ENSMUSG00000014603,11694,ALX3,ENSG00000156150,257
11130,Adam28,ENSMUSG00000014725,13522,ADAM28,ENSG00000042980,10863
11131,Nol3,ENSMUSG00000014776,78688,NOL3,ENSG00000140939,8996
11132,Plekhg4,ENSMUSG00000014782,102075,PLEKHG4,ENSG00000196155,25894
11133,Slc9a5,ENSMUSG00000014786,277973,SLC9A5,ENSG00000135740,6553
11134,Elmo3,ENSMUSG00000014791,234683,ELMO3,ENSG00000102890,79767
11135,Stc1,ENSMUSG00000014813,20855,STC1,ENSG00000159167,6781
11136,Tmem208,ENSMUSG00000014856,66320,TMEM208,ENSG00000168701,29100
11137,E2f4,ENSMUSG00000014859,104394,E2F4,ENSG00000205250,1874
11138,Tsen15,ENSMUSG00000014980,66637,TSEN15,ENSG00000198860,116461
11139,Oc90,ENSMUSG00000015001,18256,OC90,ENSG00000253117,729330
11140,Efr3a,ENSMUSG00000015002,76740,EFR3A,ENSG00000132294,23167
11141,Trappc2l,ENSMUSG00000015013,59005,TRAPPC2L,ENSG00000167515,51693
11142,Slc25a13,ENSMUSG00000015112,50799,SLC25A13,ENSG00000004864,10165
11143,Mtmr1,ENSMUSG00000015214,53332,MTMR1,ENSG00000063601,8776
11144,Map2,ENSMUSG00000015222,17756,MAP2,ENSG00000078018,4133
11145,Slamf6,ENSMUSG00000015314,30925,SLAMF6,ENSG00000162739,114836
11146,Trabd,ENSMUSG00000015363,67976,TRABD,ENSG00000170638,80305
11147,Dennd6b,ENSMUSG00000015377,69440,DENND6B,ENSG00000205593,414918
11148,Ppt2,ENSMUSG00000015474,54397,PPT2,ENSG00000221988,9374
11149,Prrt1,ENSMUSG00000015476,260297,PRRT1,ENSG00000204314,80863
11150,Prrt1,ENSMUSG00000015476,260297,PRRT1,ENSG00000204314,100507547
11151,Itga2,ENSMUSG00000015533,16398,ITGA2,ENSG00000164171,3673
11152,Awat1,ENSMUSG00000015665,245533,AWAT1,ENSG00000204195,158833
11153,Cnih1,ENSMUSG00000015759,12793,CNIH1,ENSG00000100528,10175
11154,Eps8,ENSMUSG00000015766,13860,EPS8,ENSG00000151491,2059
11155,Gnrh1,ENSMUSG00000015812,14714,GNRH1,ENSG00000147437,2796
11156,Rxrg,ENSMUSG00000015843,20183,RXRG,ENSG00000143171,6258
11157,Cd5l,ENSMUSG00000015854,11801,CD5L,ENSG00000073754,922
11158,Amdhd1,ENSMUSG00000015890,71761,AMDHD1,ENSG00000139344,144193
11159,Gtf2ird2,ENSMUSG00000015942,114674,GTF2IRD2,ENSG00000196275,84163
11160,Gtf2ird2,ENSMUSG00000015942,114674,GTF2IRD2B,ENSG00000174428,389524
11161,Il17rb,ENSMUSG00000015966,50905,IL17RB,ENSG00000056736,55540
11162,Chdh,ENSMUSG00000015970,218865,CHDH,ENSG00000016391,55349
11163,Mtrex,ENSMUSG00000016018,72198,MTREX,ENSG00000039123,23517
11164,Lbp,ENSMUSG00000016024,16803,LBP,ENSG00000129988,3929
11165,Fli1,ENSMUSG00000016087,14247,FLI1,ENSG00000151702,2313
11166,Slc25a5,ENSMUSG00000016319,11740,SLC25A5,ENSG00000005022,292
11167,Wt1,ENSMUSG00000016458,22431,WT1,ENSG00000184937,7490
11168,Ppfibp1,ENSMUSG00000016487,67533,PPFIBP1,ENSG00000110841,8496
11169,Phf21b,ENSMUSG00000016624,271305,PHF21B,ENSG00000056487,112885
11170,Pacsin2,ENSMUSG00000016664,23970,PACSIN2,ENSG00000100266,11252
11171,Bik,ENSMUSG00000016758,12124,BIK,ENSG00000100290,638
11172,Sulf1,ENSMUSG00000016918,240725,SULF1,ENSG00000137573,23213
11173,Slpi,ENSMUSG00000017002,20568,SLPI,ENSG00000124107,6590
11174,Rbpjl,ENSMUSG00000017007,19668,RBPJL,ENSG00000124232,11317
11175,Sdc4,ENSMUSG00000017009,20971,SDC4,ENSG00000124145,6385
11176,Gast,ENSMUSG00000017165,14459,GAST,ENSG00000184502,2520
11177,Nt5c3b,ENSMUSG00000017176,68106,NT5C3B,ENSG00000141698,115024
11178,Glod4,ENSMUSG00000017286,67201,GLOD4,ENSG00000167699,51031
11179,Cd300lg,ENSMUSG00000017309,52685,CD300LG,ENSG00000161649,146894
11180,Mpp2,ENSMUSG00000017314,50997,MPP2,ENSG00000108852,4355
11181,Ppy,ENSMUSG00000017316,19064,PPY,ENSG00000108849,5539
11182,Arl5b,ENSMUSG00000017418,75869,ARL5B,ENSG00000165997,221079
11183,Timp2,ENSMUSG00000017466,21858,TIMP2,ENSG00000035862,7077
11184,Top2b,ENSMUSG00000017485,21974,TOP2B,ENSG00000077097,7155
11185,Rarb,ENSMUSG00000017491,218772,RARB,ENSG00000077092,5915
11186,Atad5,ENSMUSG00000017550,237877,ATAD5,ENSG00000176208,79915
11187,Crlf3,ENSMUSG00000017561,54394,CRLF3,ENSG00000176390,51379
11188,Abr,ENSMUSG00000017631,109934,ABR,ENSG00000159842,29
11189,Rab11fip4,ENSMUSG00000017639,268451,RAB11FIP4,ENSG00000131242,84440
11190,Ttpal,ENSMUSG00000017679,76080,TTPAL,ENSG00000124120,79183
11191,Hnf4g,ENSMUSG00000017688,30942,HNF4G,ENSG00000164749,3174
11192,Ada,ENSMUSG00000017697,11486,ADA,ENSG00000196839,100
11193,Serinc3,ENSMUSG00000017707,26943,SERINC3,ENSG00000132824,10955
11194,Afmid,ENSMUSG00000017718,71562,AFMID,ENSG00000183077,125061
11195,Etv4,ENSMUSG00000017724,18612,ETV4,ENSG00000175832,2118
11196,Dbndd2,ENSMUSG00000017734,52840,DBNDD2,ENSG00000244274,55861
11197,Ghdc,ENSMUSG00000017747,80860,GHDC,ENSG00000167925,84514
11198,Myo1c,ENSMUSG00000017774,17913,MYO1C,ENSG00000197879,4641
11199,Crk,ENSMUSG00000017776,12928,CRK,ENSG00000167193,1398
11200,Pitpna,ENSMUSG00000017781,18738,PITPNA,ENSG00000174238,5306
11201,Jph2,ENSMUSG00000017817,59091,JPH2,ENSG00000149596,57158
11202,Gdap1l1,ENSMUSG00000017943,228858,GDAP1L1,ENSG00000124194,78997
11203,Rrp7a,ENSMUSG00000018040,74778,RRP7A,ENSG00000189306,27341
11204,Cyb5r3,ENSMUSG00000018042,109754,CYB5R3,ENSG00000100243,1727
11205,Stk4,ENSMUSG00000018209,58231,STK4,ENSG00000101109,6789
11206,Tomm34,ENSMUSG00000018322,67145,TOMM34,ENSG00000025772,10953
11207,Smurf2,ENSMUSG00000018363,66313,SMURF2,ENSG00000108854,64750
11208,Cep95,ENSMUSG00000018372,320162,CEP95,ENSG00000258890,90799
11209,Dhx40,ENSMUSG00000018425,67487,DHX40,ENSG00000108406,79665
11210,Derl2,ENSMUSG00000018442,116891,DERL2,ENSG00000072849,51009
11211,Kdm6b,ENSMUSG00000018476,216850,KDM6B,ENSG00000132510,23135
11212,1700125H20Rik,ENSMUSG00000018479,<NA>,C17orf64,ENSG00000141371,<NA>
11213,Appbp2,ENSMUSG00000018481,66884,APPBP2,ENSG00000062725,10513
11214,Adora2b,ENSMUSG00000018500,11541,ADORA2B,ENSG00000170425,136
11215,Cenpv,ENSMUSG00000018509,73139,CENPV,ENSG00000166582,201161
11216,Trim37,ENSMUSG00000018548,68729,TRIM37,ENSG00000108395,4591
11217,Gabarap,ENSMUSG00000018567,56486,GABARAP,ENSG00000170296,11337
11218,Phf23,ENSMUSG00000018572,78246,PHF23,ENSG00000040633,79142
11219,Glra4,ENSMUSG00000018595,14657,GLRA4,ENSG00000188828,<NA>
11220,Ikzf1,ENSMUSG00000018654,22778,IKZF1,ENSG00000185811,10320
11221,Fxr2,ENSMUSG00000018765,23879,FXR2,ENSG00000129245,9513
11222,Sult4a1,ENSMUSG00000018865,29859,SULT4A1,ENSG00000130540,25830
11223,Sart3,ENSMUSG00000018974,53890,SART3,ENSG00000075856,9733
11224,Dalrd3,ENSMUSG00000019039,67789,DALRD3,ENSG00000178149,55152
11225,Fis1,ENSMUSG00000019054,66437,FIS1,ENSG00000214253,51024
11226,Plod1,ENSMUSG00000019055,18822,PLOD1,ENSG00000083444,5351
11227,Scrn1,ENSMUSG00000019124,69938,SCRN1,ENSG00000136193,9805
11228,Hars2,ENSMUSG00000019143,70791,HARS2,ENSG00000112855,23438
11229,H13,ENSMUSG00000019188,14950,HM13,ENSG00000101294,81502
11230,Lhx9,ENSMUSG00000019230,16876,LHX9,ENSG00000143355,56956
11231,Ahr,ENSMUSG00000019256,11622,AHR,ENSG00000106546,196
11232,Map1s,ENSMUSG00000019261,270058,MAP1S,ENSG00000130479,55201
11233,Dpep1,ENSMUSG00000019278,13479,DPEP1,ENSG00000015413,1800
11234,Aoc3,ENSMUSG00000019326,11754,AOC3,ENSG00000131471,8639
11235,D8Ertd738e,ENSMUSG00000019362,101966,C19orf53,ENSG00000104979,28974
11236,Cops3,ENSMUSG00000019373,26572,COPS3,ENSG00000141030,8533
11237,Ffar3,ENSMUSG00000019429,233080,FFAR3,ENSG00000185897,2865
11238,Ffar3,ENSMUSG00000019429,233080,GPR42,ENSG00000126251,2866
11239,Ddx39b,ENSMUSG00000019432,53817,DDX39B,ENSG00000198563,7919
11240,Plscr3,ENSMUSG00000019461,70310,PLSCR3,ENSG00000187838,57048
11241,Ptger1,ENSMUSG00000019464,19216,PTGER1,ENSG00000160951,5731
11242,Trip10,ENSMUSG00000019487,106628,TRIP10,ENSG00000125733,9322
11243,Ubb,ENSMUSG00000019505,22187,UBB,ENSG00000170315,7314
11244,Slc6a8,ENSMUSG00000019558,102857,SLC6A8,ENSG00000130821,6535
11245,Pdk4,ENSMUSG00000019577,27273,PDK4,ENSG00000004799,5166
11246,Ubxn6,ENSMUSG00000019578,66530,UBXN6,ENSG00000167671,80700
11247,Mydgf,ENSMUSG00000019579,28106,MYDGF,ENSG00000074842,56005
11248,Ccdc12,ENSMUSG00000019659,72654,CCDC12,ENSG00000160799,151903
11249,Mrpl24,ENSMUSG00000019710,67707,MRPL24,ENSG00000143314,79590
11250,L3hypdh,ENSMUSG00000019718,67217,L3HYPDH,ENSG00000126790,112849
11251,Lyst,ENSMUSG00000019726,17101,LYST,ENSG00000143669,1130
11252,Slc35e1,ENSMUSG00000019731,270066,SLC35E1,ENSG00000127526,79939
11253,Calr3,ENSMUSG00000019732,73316,CALR3,ENSG00000269058,125972
11254,Tmc4,ENSMUSG00000019734,353499,TMC4,ENSG00000167608,147798
11255,Krt10,ENSMUSG00000019761,16661,KRT10,ENSG00000186395,3858
11256,Frk,ENSMUSG00000019779,14302,FRK,ENSG00000111816,2444
11257,Rwdd1,ENSMUSG00000019782,66521,RWDD1,ENSG00000111832,51389
11258,Trdn,ENSMUSG00000019787,76757,TRDN,ENSG00000186439,10345
11259,Fam184a,ENSMUSG00000019856,75906,FAM184A,ENSG00000111879,79632
11260,Fabp7,ENSMUSG00000019874,12140,FABP7,ENSG00000164434,2173
11261,Echdc1,ENSMUSG00000019883,52665,ECHDC1,ENSG00000093144,55862
11262,Dcbld1,ENSMUSG00000019891,66686,DCBLD1,ENSG00000164465,285761
11263,Ros1,ENSMUSG00000019893,19886,ROS1,ENSG00000047936,6098
11264,Lama2,ENSMUSG00000019899,16773,LAMA2,ENSG00000196569,3908
11265,Slc17a8,ENSMUSG00000019935,216227,SLC17A8,ENSG00000179520,246213
11266,Cdk1,ENSMUSG00000019942,12534,CDK1,ENSG00000170312,983
11267,Arid5b,ENSMUSG00000019947,71371,ARID5B,ENSG00000150347,84159
11268,Psen1,ENSMUSG00000019969,19164,PSEN1,ENSG00000080815,5663
11269,Ikbip,ENSMUSG00000019975,67454,IKBIP,ENSG00000166130,121457
11270,Apaf1,ENSMUSG00000019979,11783,APAF1,ENSG00000120868,317
11271,Arg1,ENSMUSG00000019987,11846,ARG1,ENSG00000118520,383
11272,Nedd1,ENSMUSG00000019988,17997,NEDD1,ENSG00000139350,121441
11273,Enpp3,ENSMUSG00000019989,209558,ENPP3,ENSG00000154269,5169
11274,Ccn2,ENSMUSG00000019997,14219,CCN2,ENSG00000118523,1490
11275,Stx7,ENSMUSG00000019998,53331,STX7,ENSG00000079950,8417
11276,Moxd1,ENSMUSG00000020000,59012,MOXD1,ENSG00000079931,26002
11277,Vnn3,ENSMUSG00000020010,26464,VNN3P,ENSG00000093134,55350
11278,Cfap54,ENSMUSG00000020014,380654,CFAP54,ENSG00000188596,144535
11279,Hal,ENSMUSG00000020017,15109,HAL,ENSG00000084110,3034
11280,Snrpf,ENSMUSG00000020018,69878,SNRPF,ENSG00000139343,6636
11281,Btbd11,ENSMUSG00000020042,<NA>,ABTB3,ENSG00000151136,121551
11282,Hsp90b1,ENSMUSG00000020048,22027,HSP90B1,ENSG00000166598,7184
11283,Hnrnph3,ENSMUSG00000020069,432467,HNRNPH3,ENSG00000096746,3189
11284,Ccar1,ENSMUSG00000020074,67500,CCAR1,ENSG00000060339,55749
11285,Ddx50,ENSMUSG00000020076,94213,DDX50,ENSG00000107625,79009
11286,Slc16a7,ENSMUSG00000020102,20503,SLC16A7,ENSG00000118596,9194
11287,Usp15,ENSMUSG00000020124,14479,USP15,ENSG00000135655,9958
11288,Elane,ENSMUSG00000020125,50701,ELANE,ENSG00000197561,1991
11289,Apc2,ENSMUSG00000020135,23805,APC2,ENSG00000115266,10297
11290,Pwwp3a,ENSMUSG00000020156,68114,PWWP3A,ENSG00000160953,84939
11291,Grb10,ENSMUSG00000020176,14783,GRB10,ENSG00000106070,2887
11292,Ddc,ENSMUSG00000020182,13195,DDC,ENSG00000132437,1644
11293,Zpbp,ENSMUSG00000020193,53604,ZPBP,ENSG00000042813,11055
11294,Ap3d1,ENSMUSG00000020198,11776,AP3D1,ENSG00000065000,8943
11295,Jsrp1,ENSMUSG00000020216,71912,JSRP1,ENSG00000167476,126306
11296,Timm13,ENSMUSG00000020219,30055,TIMM13,ENSG00000099800,26517
11297,Vps13d,ENSMUSG00000020220,230895,VPS13D,ENSG00000048707,55187
11298,Dip2a,ENSMUSG00000020231,64451,DIP2A,ENSG00000160305,23181
11299,Hmg20b,ENSMUSG00000020232,15353,HMG20B,ENSG00000064961,10362
11300,Ncln,ENSMUSG00000020238,103425,NCLN,ENSG00000125912,56926
11301,Hcfc2,ENSMUSG00000020246,67933,HCFC2,ENSG00000111727,29915
11302,Nfyb,ENSMUSG00000020248,18045,NFYB,ENSG00000120837,4801
11303,Glt8d2,ENSMUSG00000020251,74782,GLT8D2,ENSG00000120820,83468
11304,Slc36a1,ENSMUSG00000020261,215335,SLC36A1,ENSG00000123643,206358
11305,Appl2,ENSMUSG00000020263,216190,APPL2,ENSG00000136044,55198
11306,Papolg,ENSMUSG00000020273,216578,PAPOLG,ENSG00000115421,64895
11307,1700093K21Rik,ENSMUSG00000020286,67358,C2orf74,ENSG00000237651,339804
11308,Xpo1,ENSMUSG00000020290,103573,XPO1,ENSG00000082898,7514
11309,4930524B15Rik,ENSMUSG00000020299,67592,C5orf47,ENSG00000185056,133491
11310,Asb3,ENSMUSG00000020305,65257,ASB3,ENSG00000115239,51130
11311,Asb3,ENSMUSG00000020305,65257,ASB3,ENSG00000115239,100302652
11312,Chac2,ENSMUSG00000020309,68044,CHAC2,ENSG00000143942,494143
11313,Sptbn1,ENSMUSG00000020315,20742,SPTBN1,ENSG00000115306,6711
11314,Theg,ENSMUSG00000020317,21830,THEG,ENSG00000105549,51298
11315,Prss57,ENSMUSG00000020323,73106,PRSS57,ENSG00000185198,400668
11316,Fgf22,ENSMUSG00000020327,67112,FGF22,ENSG00000070388,27006
11317,Hcn2,ENSMUSG00000020331,15166,HCN2,ENSG00000099822,610
11318,Mgat1,ENSMUSG00000020346,17308,MGAT1,ENSG00000131446,4245
11319,Hnrnpab,ENSMUSG00000020358,15384,HNRNPAB,ENSG00000197451,3182
11320,Cnot6,ENSMUSG00000020362,104625,CNOT6,ENSG00000113300,57472
11321,Gfpt2,ENSMUSG00000020363,14584,GFPT2,ENSG00000131459,9945
11322,Canx,ENSMUSG00000020368,12330,CANX,ENSG00000127022,821
11323,Rack1,ENSMUSG00000020372,14694,RACK1,ENSG00000204628,10399
11324,Ltc4s,ENSMUSG00000020377,17001,LTC4S,ENSG00000213316,4056
11325,Clk4,ENSMUSG00000020385,12750,CLK4,ENSG00000113240,57396
11326,Tnip1,ENSMUSG00000020400,57783,TNIP1,ENSG00000145901,10318
11327,Upp1,ENSMUSG00000020407,22271,UPP1,ENSG00000183696,7378
11328,Hus1,ENSMUSG00000020413,15574,HUS1,ENSG00000136273,3364
11329,Igfbp1,ENSMUSG00000020429,16006,IGFBP1,ENSG00000146678,3484
11330,Rtn4,ENSMUSG00000020458,68585,RTN4,ENSG00000115310,57142
11331,Mtif2,ENSMUSG00000020459,76784,MTIF2,ENSG00000085760,4528
11332,Pnpt1,ENSMUSG00000020464,71701,PNPT1,ENSG00000138035,87178
11333,Ska2,ENSMUSG00000020492,66140,SKA2,ENSG00000182628,348235
11334,Prr11,ENSMUSG00000020493,270906,PRR11,ENSG00000068489,55771
11335,Rps6kb1,ENSMUSG00000020516,72508,RPS6KB1,ENSG00000108443,6198
11336,Sap30l,ENSMUSG00000020519,50724,SAP30L,ENSG00000164576,79685
11337,Galnt10,ENSMUSG00000020520,171212,GALNT10,ENSG00000164574,55568
11338,Rnft1,ENSMUSG00000020521,76892,RNFT1,ENSG00000189050,51136
11339,Mfap3,ENSMUSG00000020522,216760,MFAP3,ENSG00000037749,4238
11340,Fam114a2,ENSMUSG00000020523,67726,FAM114A2,ENSG00000055147,10827
11341,Drg2,ENSMUSG00000020537,13495,DRG2,ENSG00000108591,1819
11342,Srebf1,ENSMUSG00000020538,20787,SREBF1,ENSG00000072310,6720
11343,Elac2,ENSMUSG00000020549,68626,ELAC2,ENSG00000006744,60528
11344,Efcab10,ENSMUSG00000020562,75040,EFCAB10,ENSG00000185055,100130771
11345,Sypl,ENSMUSG00000020570,19027,SYPL1,ENSG00000008282,6856
11346,Pdia6,ENSMUSG00000020571,71853,PDIA6,ENSG00000143870,10130
11347,Pik3cg,ENSMUSG00000020573,30955,PIK3CG,ENSG00000105851,5294
11348,Snx13,ENSMUSG00000020590,217463,SNX13,ENSG00000071189,23161
11349,Pum2,ENSMUSG00000020594,80913,PUM2,ENSG00000055917,23369
11350,Rgs9,ENSMUSG00000020599,19739,RGS9,ENSG00000108370,8787
11351,Trib2,ENSMUSG00000020601,217410,TRIB2,ENSG00000071575,28951
11352,Smc6,ENSMUSG00000020608,67241,SMC6,ENSG00000163029,79677
11353,Gna13,ENSMUSG00000020611,14674,GNA13,ENSG00000120063,10672
11354,Dus4l,ENSMUSG00000020648,71916,DUS4L,ENSG00000105865,11062
11355,Cbll1,ENSMUSG00000020659,104836,CBLL1,ENSG00000105879,79872
11356,Dld,ENSMUSG00000020664,13382,DLD,ENSG00000091140,1738
11357,Ccl11,ENSMUSG00000020676,20292,CCL11,ENSG00000172156,6356
11358,Cacng4,ENSMUSG00000020723,54377,CACNG4,ENSG00000075461,27092
11359,Cluh,ENSMUSG00000020741,74148,CLUH,ENSG00000132361,23277
11360,Aspa,ENSMUSG00000020774,11484,ASPA,ENSG00000108381,443
11361,Ncbp3,ENSMUSG00000020783,66874,NCBP3,ENSG00000074356,55421
11362,Med31,ENSMUSG00000020801,67279,MED31,ENSG00000108590,51003
11363,Ube2o,ENSMUSG00000020802,217342,UBE2O,ENSG00000175931,63893
11364,Txndc17,ENSMUSG00000020803,52700,TXNDC17,ENSG00000129235,84817
11365,Pimreg,ENSMUSG00000020808,109212,PIMREG,ENSG00000129195,54478
11366,Cygb,ENSMUSG00000020810,114886,CYGB,ENSG00000161544,114757
11367,Wscd1,ENSMUSG00000020811,216881,WSCD1,ENSG00000179314,23302
11368,Mfsd11,ENSMUSG00000020818,69900,MFSD11,ENSG00000092931,79157
11369,Rph3al,ENSMUSG00000020847,380714,RPH3AL,ENSG00000181031,9501
11370,Doc2b,ENSMUSG00000020848,13447,DOC2B,ENSG00000272636,8447
11371,Dlg4,ENSMUSG00000020886,13385,DLG4,ENSG00000132535,1742
11372,Dvl2,ENSMUSG00000020888,13543,DVL2,ENSG00000004975,1856
11373,Krt19,ENSMUSG00000020911,16669,KRT19,ENSG00000171345,3880
11374,Krt12,ENSMUSG00000020912,268482,KRT12,ENSG00000187242,3859
11375,Krt24,ENSMUSG00000020913,75706,KRT24,ENSG00000167916,192666
11376,Krt36,ENSMUSG00000020916,16673,KRT36,ENSG00000126337,8689
11377,Acly,ENSMUSG00000020917,104112,ACLY,ENSG00000131473,47
11378,Kat2a,ENSMUSG00000020918,14534,KAT2A,ENSG00000108773,2648
11379,Adam11,ENSMUSG00000020926,11488,ADAM11,ENSG00000073670,4185
11380,Dcakd,ENSMUSG00000020935,68087,DCAKD,ENSG00000172992,79877
11381,Pole2,ENSMUSG00000020974,18974,POLE2,ENSG00000100479,5427
11382,Nemf,ENSMUSG00000020982,66244,NEMF,ENSG00000165525,9147
11383,L2hgdh,ENSMUSG00000020988,217666,L2HGDH,ENSG00000087299,79944
11384,Cdkl1,ENSMUSG00000020990,71091,CDKL1,ENSG00000100490,8814
11385,Ttc8,ENSMUSG00000021013,76260,TTC8,ENSG00000165533,123016
11386,Polr2h,ENSMUSG00000021018,245841,POLR2H,ENSG00000163882,5437
11387,Nova1,ENSMUSG00000021047,664883,NOVA1,ENSG00000139910,4857
11388,Pygl,ENSMUSG00000021069,110095,PYGL,ENSG00000100504,5836
11389,Actr10,ENSMUSG00000021076,56444,ACTR10,ENSG00000131966,55860
11390,Lrrc9,ENSMUSG00000021090,78257,LRRC9,ENSG00000131951,341883
11391,Serpina3n,ENSMUSG00000021091,20716,SERPINA3,ENSG00000196136,12
11392,Ppm1a,ENSMUSG00000021096,19042,PPM1A,ENSG00000100614,5494
11393,4930447C04Rik,ENSMUSG00000021098,75801,C14orf39,ENSG00000179008,317761
11394,Prkch,ENSMUSG00000021108,18755,PRKCH,ENSG00000027075,5583
11395,Susd6,ENSMUSG00000021133,217684,SUSD6,ENSG00000100647,9766
11396,Srsf5,ENSMUSG00000021134,20384,SRSF5,ENSG00000100650,6430
11397,Slc10a1,ENSMUSG00000021135,20493,SLC10A1,ENSG00000100652,6554
11398,Smoc1,ENSMUSG00000021136,64075,SMOC1,ENSG00000198732,64093
11399,Pcnx,ENSMUSG00000021140,54604,PCNX1,ENSG00000100731,22990
11400,Pacs2,ENSMUSG00000021143,217893,PACS2,ENSG00000179364,23241
11401,Gm9745,ENSMUSG00000021148,<NA>,IDI2,ENSG00000148377,91734
11402,Cdca7l,ENSMUSG00000021175,217946,CDCA7L,ENSG00000164649,55536
11403,Efcab11,ENSMUSG00000021176,78767,EFCAB11,ENSG00000140025,90141
11404,Psmc1,ENSMUSG00000021178,19179,PSMC1,ENSG00000100764,5700
11405,Nrde2,ENSMUSG00000021179,217827,NRDE2,ENSG00000119720,55051
11406,Rps6ka5,ENSMUSG00000021180,73086,RPS6KA5,ENSG00000100784,9252
11407,Tc2n,ENSMUSG00000021187,74413,TC2N,ENSG00000165929,123036
