human_symbol,mouse_symbol,human_ensembl,mouse_ensembl,human_entrez,mouse_entrez
NPY4R,Npy4r,ENSG00000204174,ENSMUSG00000048337,5540,19065
NPY4R2,Npy4r,ENSG00000288157,ENSMUSG00000048337,100996758,19065
NPY4R2,Npy4r,ENSG00000264717,ENSMUSG00000048337,100996758,19065
NPY5R,Npy5r,ENSG00000164129,ENSMUSG00000044014,4889,18168
NQO1,Nqo1,ENSG00000181019,ENSMUSG00000003849,1728,18104
NQO2,Nqo2,ENSG00000124588,ENSMUSG00000046949,4835,18105
NR0B1,Nr0b1,ENSG00000169297,ENSMUSG00000025056,190,11614
NR0B2,Nr0b2,ENSG00000131910,ENSMUSG00000037583,8431,23957
NR1D1,Nr1d1,ENSG00000126368,ENSMUSG00000020889,9572,217166
NR1D2,Nr1d2,ENSG00000174738,ENSMUSG00000021775,9975,353187
NR1H2,Nr1h2,ENSG00000131408,ENSMUSG00000060601,7376,22260
NR1H3,Nr1h3,ENSG00000025434,ENSMUSG00000002108,10062,22259
NR1H4,Nr1h4,ENSG00000012504,ENSMUSG00000047638,9971,20186
NR1I2,Nr1i2,ENSG00000144852,ENSMUSG00000022809,8856,18171
NR1I3,Nr1i3,ENSG00000143257,ENSMUSG00000005677,9970,12355
NR2C1,Nr2c1,ENSG00000120798,ENSMUSG00000005897,7181,22025
NR2C2,Nr2c2,ENSG00000177463,ENSMUSG00000005893,7182,22026
NR2C2AP,Nr2c2ap,ENSG00000184162,ENSMUSG00000071078,126382,75692
NR2E1,Nr2e1,ENSG00000112333,ENSMUSG00000019803,7101,21907
NR2E3,Nr2e3,ENSG00000278570,ENSMUSG00000032292,10002,23958
NR2F1,Nr2f1,ENSG00000175745,ENSMUSG00000069171,7025,13865
NR2F2,Nr2f2,ENSG00000185551,ENSMUSG00000030551,7026,11819
NR2F6,Nr2f6,ENSG00000160113,ENSMUSG00000002393,2063,13864
NR3C1,Nr3c1,ENSG00000113580,ENSMUSG00000024431,2908,14815
NR3C2,Nr3c2,ENSG00000151623,ENSMUSG00000031618,4306,110784
NR4A1,Nr4a1,ENSG00000123358,ENSMUSG00000023034,3164,15370
NR4A2,Nr4a2,ENSG00000153234,ENSMUSG00000026826,4929,18227
NR4A3,Nr4a3,ENSG00000119508,ENSMUSG00000028341,8013,18124
NR5A1,Nr5a1,ENSG00000136931,ENSMUSG00000026751,2516,26423
NR5A2,Nr5a2,ENSG00000116833,ENSMUSG00000026398,2494,26424
NR6A1,Nr6a1,ENSG00000148200,ENSMUSG00000063972,2649,14536
NRAP,Nrap,ENSG00000197893,ENSMUSG00000049134,4892,18175
NRARP,Nrarp,ENSG00000198435,ENSMUSG00000078202,441478,67122
NRAS,Nras,ENSG00000213281,ENSMUSG00000027852,4893,18176
NRBF2,Nrbf2,ENSG00000148572,ENSMUSG00000075000,29982,641340
NRBP1,Nrbp1,ENSG00000115216,ENSMUSG00000029148,29959,192292
NRBP2,Nrbp2,ENSG00000185189,ENSMUSG00000075590,340371,223649
NRCAM,Nrcam,ENSG00000091129,ENSMUSG00000020598,4897,319504
NRDC,Nrd1,ENSG00000078618,ENSMUSG00000053510,4898,230598
NRDE2,Nrde2,ENSG00000119720,ENSMUSG00000021179,55051,217827
NREP,Nrep,ENSG00000134986,ENSMUSG00000042834,9315,27528
NRF1,Nrf1,ENSG00000106459,ENSMUSG00000058440,4899,18181
NRG1,Nrg1,ENSG00000157168,ENSMUSG00000118541,3084,-1
NRG1,Nrg1,ENSG00000157168,ENSMUSG00000062991,3084,211323
NRG2,Nrg2,ENSG00000158458,ENSMUSG00000060275,9542,100042150
NRG3,Nrg3,ENSG00000185737,ENSMUSG00000041014,10718,18183
NRG4,Nrg4,ENSG00000169752,ENSMUSG00000032311,145957,83961
NRGN,Nrgn,ENSG00000154146,ENSMUSG00000053310,4900,64011
NRIP1,Nrip1,ENSG00000180530,ENSMUSG00000048490,8204,268903
NRIP2,Gm44596,ENSG00000053702,ENSMUSG00000108011,83714,-1
NRIP2,Nrip2,ENSG00000053702,ENSMUSG00000001520,83714,60345
NRIP3,Nrip3,ENSG00000175352,ENSMUSG00000034825,56675,78593
NRK,Nrk,ENSG00000123572,ENSMUSG00000052854,203447,27206
NRL,Nrl,ENSG00000129535,ENSMUSG00000040632,4901,18185
NRL,Nrl,ENSG00000285493,ENSMUSG00000040632,4901,18185
NRM,Nrm,ENSG00000234809,ENSMUSG00000059791,11270,106582
NRM,Nrm,ENSG00000228867,ENSMUSG00000059791,11270,106582
NRM,Nrm,ENSG00000235773,ENSMUSG00000059791,11270,106582
NRM,Nrm,ENSG00000206484,ENSMUSG00000059791,11270,106582
NRM,Nrm,ENSG00000228854,ENSMUSG00000059791,11270,106582
NRM,Nrm,ENSG00000236843,ENSMUSG00000059791,11270,106582
NRM,Nrm,ENSG00000137404,ENSMUSG00000059791,11270,106582
NRN1,Nrn1,ENSG00000124785,ENSMUSG00000039114,51299,68404
NRN1L,Nrn1l,ENSG00000188038,ENSMUSG00000044287,123904,234700
NRP1,Nrp1,ENSG00000099250,ENSMUSG00000025810,8829,18186
NRP2,Nrp2,ENSG00000118257,ENSMUSG00000025969,8828,18187
NRROS,Nrros,ENSG00000174004,ENSMUSG00000052384,375387,224109
NRSN1,Nrsn1,ENSG00000152954,ENSMUSG00000048978,140767,22360
NRSN2,Nrsn2,ENSG00000125841,ENSMUSG00000059361,80023,228777
NRTN,Nrtn,ENSG00000171119,ENSMUSG00000039481,4902,18188
NRXN1,Nrxn1,ENSG00000179915,ENSMUSG00000024109,9378,18189
NRXN2,Nrxn2,ENSG00000110076,ENSMUSG00000033768,9379,18190
NRXN3,Nrxn3,ENSG00000021645,ENSMUSG00000066392,9369,18191
NSA2,Nsa2,ENSG00000164346,ENSMUSG00000060739,10412,59050
NSD1,Nsd1,ENSG00000165671,ENSMUSG00000021488,64324,18193
NSD2,Nsd2,ENSG00000109685,ENSMUSG00000057406,7468,107823
NSD3,Nsd3,ENSG00000147548,ENSMUSG00000054823,54904,234135
NSDHL,Nsdhl,ENSG00000147383,ENSMUSG00000031349,50814,18194
NSF,Nsf,ENSG00000278174,ENSMUSG00000034187,4905,18195
NSF,Nsf,ENSG00000073969,ENSMUSG00000034187,4905,18195
NSF,Nsf,ENSG00000276262,ENSMUSG00000034187,4905,18195
NSFL1C,Nsfl1c,ENSG00000088833,ENSMUSG00000027455,55968,386649
NSG1,Nsg1,ENSG00000168824,ENSMUSG00000029126,27065,18196
NSG2,Nsg2,ENSG00000170091,ENSMUSG00000020297,51617,18197
NSL1,Nsl1,ENSG00000117697,ENSMUSG00000062510,25936,381318
NSMAF,Nsmaf,ENSG00000035681,ENSMUSG00000028245,8439,18201
NSMCE1,Nsmce1,ENSG00000169189,ENSMUSG00000030750,197370,67711
NSMCE2,Nsmce2,ENSG00000156831,ENSMUSG00000059586,286053,68501
NSMCE3,Nscme3l,ENSG00000282130,ENSMUSG00000100937,56160,75555
NSMCE3,Nscme3l,ENSG00000185115,ENSMUSG00000100937,56160,75555
NSMCE3,Nsmce3,ENSG00000185115,ENSMUSG00000070520,56160,66647
NSMCE3,Nsmce3,ENSG00000282130,ENSMUSG00000070520,56160,66647
NSMCE4A,Nsmce4a,ENSG00000107672,ENSMUSG00000040331,54780,67872
NSMF,Nsmf,ENSG00000165802,ENSMUSG00000006476,26012,56876
NSRP1,Nsrp1,ENSG00000126653,ENSMUSG00000037958,84081,237859
NSUN2,Nsun2,ENSG00000037474,ENSMUSG00000021595,54888,28114
NSUN3,Nsun3,ENSG00000178694,ENSMUSG00000050312,63899,106338
NSUN5,Nsun5,ENSG00000130305,ENSMUSG00000000916,55695,100609
NSUN6,Nsun6,ENSG00000241058,ENSMUSG00000026707,221078,74455
NSUN7,Nsun7,ENSG00000179299,ENSMUSG00000029206,79730,70918
NT5C,Nt5c,ENSG00000125458,ENSMUSG00000020736,30833,50773
NT5C1A,Nt5c1a,ENSG00000116981,ENSMUSG00000054958,84618,230718
NT5C1B,Nt5c1b,ENSG00000185013,ENSMUSG00000020622,93034,70881
NT5C1B-RDH14,Nt5c1b,ENSG00000250741,ENSMUSG00000020622,100526794,70881
NT5C2,Nt5c2,ENSG00000076685,ENSMUSG00000025041,22978,76952
NT5C3A,Nt5c3,ENSG00000122643,ENSMUSG00000029780,51251,107569
NT5C3B,Nt5c3b,ENSG00000141698,ENSMUSG00000017176,115024,68106
NT5DC1,Nt5dc1,ENSG00000178425,ENSMUSG00000039480,221294,319638
NT5DC2,Nt5dc2,ENSG00000168268,ENSMUSG00000071547,64943,70021
NT5DC3,Gm49358,ENSG00000111696,ENSMUSG00000112743,51559,-1
NT5DC3,Nt5dc3,ENSG00000111696,ENSMUSG00000054027,51559,103466
NT5E,Nt5e,ENSG00000135318,ENSMUSG00000032420,4907,23959
NT5M,Nt5m,ENSG00000205309,ENSMUSG00000032615,56953,103850
NTAN1,Ntan1,ENSG00000275779,ENSMUSG00000022681,123803,18203
NTAN1,Ntan1,ENSG00000157045,ENSMUSG00000022681,123803,18203
NTAQ1,Wdyhv1,ENSG00000156795,ENSMUSG00000022359,55093,76773
NTF3,Ntf3,ENSG00000185652,ENSMUSG00000049107,4908,18205
NTF4,Ntf5,ENSG00000225950,ENSMUSG00000074121,4909,78405
NTHL1,Nthl1,ENSG00000065057,ENSMUSG00000041429,4913,18207
NTM,Ntm,ENSG00000182667,ENSMUSG00000059974,50863,235106
NTMT1,Ntmt1,ENSG00000148335,ENSMUSG00000026857,28989,66617
NTMT2,Mettl11b,ENSG00000203740,ENSMUSG00000040113,149281,240879
NTN1,Ntn1,ENSG00000065320,ENSMUSG00000020902,9423,18208
NTN3,Ntn3,ENSG00000162068,ENSMUSG00000117406,4917,18209
NTN4,Ntn4,ENSG00000074527,ENSMUSG00000020019,59277,57764
NTN5,Ntn5,ENSG00000142233,ENSMUSG00000070564,126147,243967
NTNG1,Ntng1,ENSG00000162631,ENSMUSG00000059857,22854,80883
NTNG2,Ntng2,ENSG00000196358,ENSMUSG00000035513,84628,171171
NTPCR,Ntpcr,ENSG00000135778,ENSMUSG00000031851,84284,66566
NTRK1,Ntrk1,ENSG00000198400,ENSMUSG00000028072,4914,18211
NTRK2,Ntrk2,ENSG00000148053,ENSMUSG00000055254,4915,18212
NTRK3,Ntrk3,ENSG00000140538,ENSMUSG00000059146,4916,414121
NTRK3,Ntrk3,ENSG00000140538,ENSMUSG00000059146,4916,18213
NTS,Nts,ENSG00000133636,ENSMUSG00000019890,4922,67405
NTSR1,Ntsr1,ENSG00000101188,ENSMUSG00000027568,4923,18216
NTSR2,Ntsr2,ENSG00000169006,ENSMUSG00000020591,23620,18217
NUAK1,Nuak1,ENSG00000074590,ENSMUSG00000020032,9891,77976
NUAK2,Nuak2,ENSG00000163545,ENSMUSG00000009772,81788,74137
NUB1,Nub1,ENSG00000013374,ENSMUSG00000028954,51667,53312
NUBP1,Nubp1,ENSG00000103274,ENSMUSG00000022503,4682,26425
NUBP2,Nubp2,ENSG00000095906,ENSMUSG00000039183,10101,26426
NUBPL,Nubpl,ENSG00000151413,ENSMUSG00000035142,80224,76826
NUCB1,Nucb1,ENSG00000104805,ENSMUSG00000030824,4924,18220
NUCB2,Nucb2,ENSG00000070081,ENSMUSG00000030659,4925,53322
NUCKS1,Nucks1,ENSG00000069275,ENSMUSG00000026434,64710,98415
NUDC,Nudc,ENSG00000090273,ENSMUSG00000028851,10726,18221
NUDCD1,Nudcd1,ENSG00000120526,ENSMUSG00000038736,84955,67429
NUDCD2,Nudcd2,ENSG00000170584,ENSMUSG00000020328,134492,52653
NUDCD3,Nudcd3,ENSG00000015676,ENSMUSG00000053838,23386,209586
NUDT1,Nudt1,ENSG00000106268,ENSMUSG00000036639,4521,17766
NUDT11,Nudt10,ENSG00000196368,ENSMUSG00000073293,55190,102954
NUDT11,Nudt11,ENSG00000196368,ENSMUSG00000073295,55190,58242
NUDT12,Nudt12,ENSG00000112874,ENSMUSG00000024228,83594,67993
NUDT13,Nudt13,ENSG00000166321,ENSMUSG00000021809,25961,67725
NUDT14,Nudt14,ENSG00000183828,ENSMUSG00000002804,256281,66174
NUDT15,Nudt15,ENSG00000136159,ENSMUSG00000033405,55270,214254
NUDT16,Nudt16l2,ENSG00000198585,ENSMUSG00000032566,131870,73532
NUDT16,Nudt16,ENSG00000198585,ENSMUSG00000032565,131870,75686
NUDT16L1,Nudt16l1,ENSG00000168101,ENSMUSG00000022516,84309,66911
NUDT17,Nudt17,ENSG00000186364,ENSMUSG00000028100,200035,78373
NUDT18,Nudt18,ENSG00000275074,ENSMUSG00000045211,79873,213484
NUDT19,Nudt19,ENSG00000213965,ENSMUSG00000034875,390916,110959
NUDT2,Nudt2,ENSG00000164978,ENSMUSG00000028443,318,66401
NUDT21,Nudt21,ENSG00000167005,ENSMUSG00000031754,11051,68219
NUDT22,Nudt22,ENSG00000149761,ENSMUSG00000037349,84304,68323
NUDT3,Nudt3,ENSG00000272325,ENSMUSG00000024213,11165,56409
NUDT4,Nudt4,ENSG00000173598,ENSMUSG00000020029,11163,71207
NUDT4B,Nudt4,ENSG00000177144,ENSMUSG00000020029,440672,71207
NUDT5,Nudt5,ENSG00000165609,ENSMUSG00000025817,11164,53893
NUDT6,Nudt6,ENSG00000170917,ENSMUSG00000050174,11162,229228
NUDT7,Nudt7,ENSG00000140876,ENSMUSG00000031767,283927,67528
NUDT9,Nudt9,ENSG00000170502,ENSMUSG00000029310,53343,74167
NUF2,Nuf2,ENSG00000143228,ENSMUSG00000026683,83540,66977
NUFIP1,Nufip1,ENSG00000083635,ENSMUSG00000022009,26747,27275
NUFIP2,Nufip2,ENSG00000108256,ENSMUSG00000037857,57532,68564
NUGGC,Nuggc,ENSG00000189233,ENSMUSG00000061356,389643,100503545
NUMA1,Numa1,ENSG00000137497,ENSMUSG00000066306,4926,101706
NUMB,Numb,ENSG00000133961,ENSMUSG00000021224,8650,18222
NUMBL,Numbl,ENSG00000105245,ENSMUSG00000063160,9253,18223
NUP107,Nup107,ENSG00000111581,ENSMUSG00000052798,57122,103468
NUP133,Nup133,ENSG00000069248,ENSMUSG00000039509,55746,234865
NUP153,Nup153,ENSG00000124789,ENSMUSG00000021374,9972,218210
NUP155,Nup155,ENSG00000113569,ENSMUSG00000022142,9631,170762
NUP160,Nup160,ENSG00000030066,ENSMUSG00000051329,23279,59015
NUP188,Nup188,ENSG00000095319,ENSMUSG00000052533,23511,227699
NUP205,Nup205,ENSG00000155561,ENSMUSG00000038759,23165,70699
NUP210,Nup210,ENSG00000132182,ENSMUSG00000030091,23225,54563
NUP210L,Nup210l,ENSG00000143552,ENSMUSG00000027939,91181,77595
NUP214,Nup214,ENSG00000126883,ENSMUSG00000001855,8021,227720
NUP35,Nup35,ENSG00000163002,ENSMUSG00000026999,129401,69482
NUP37,Nup37,ENSG00000075188,ENSMUSG00000035351,79023,69736
NUP42,Nupl2,ENSG00000136243,ENSMUSG00000048439,11097,231042
NUP43,Nup43,ENSG00000120253,ENSMUSG00000040034,348995,69912
NUP50,1700123L14Rik,ENSG00000093000,ENSMUSG00000072878,10762,-1
NUP50,Nup50,ENSG00000093000,ENSMUSG00000016619,10762,18141
NUP54,Nup54,ENSG00000138750,ENSMUSG00000034826,53371,269113
NUP58,Nupl1,ENSG00000139496,ENSMUSG00000063895,9818,-1
NUP58,Gm49336,ENSG00000139496,ENSMUSG00000114797,9818,71844
NUP62,Nup62,ENSG00000213024,ENSMUSG00000109511,23636,18226
NUP62CL,Nup62cl,ENSG00000198088,ENSMUSG00000072944,54830,279706
NUP85,Nup85,ENSG00000125450,ENSMUSG00000020739,79902,445007
NUP88,Nup88,ENSG00000108559,ENSMUSG00000040667,4927,19069
NUP93,Nup93,ENSG00000102900,ENSMUSG00000032939,9688,71805
NUP98,Nup98,ENSG00000110713,ENSMUSG00000063550,4928,269966
NUPR1,Nupr1,ENSG00000176046,ENSMUSG00000030717,26471,56312
NUPR2,Nupr1l,ENSG00000185290,ENSMUSG00000095789,389493,69034
NUS1,Nus1,ENSG00000153989,ENSMUSG00000023068,116150,52014
NUSAP1,Nusap1,ENSG00000137804,ENSMUSG00000027306,51203,108907
NUTF2,Nutf2-ps1,ENSG00000102898,ENSMUSG00000071497,10204,-1
NUTF2,Nutf2,ENSG00000102898,ENSMUSG00000008450,10204,68051
NUTM1,Nutm1,ENSG00000184507,ENSMUSG00000041358,256646,213765
NUTM2A,Nutm2,ENSG00000184923,ENSMUSG00000071909,728118,328250
NUTM2B,Nutm2,ENSG00000188199,ENSMUSG00000071909,729262,328250
NUTM2D,Nutm2,ENSG00000214562,ENSMUSG00000071909,728130,328250
NUTM2E,Nutm2,ENSG00000228570,ENSMUSG00000071909,283008,328250
NUTM2F,Nutm2,ENSG00000130950,ENSMUSG00000071909,54754,328250
NUTM2G,Nutm2,ENSG00000188152,ENSMUSG00000071909,441457,328250
NVL,Nvl,ENSG00000143748,ENSMUSG00000026516,4931,67459
NWD1,Nwd1,ENSG00000188039,ENSMUSG00000048148,284434,319555
NWD2,Nwd2,ENSG00000174145,ENSMUSG00000090061,57495,319807
NXF1,Nxf1,ENSG00000162231,ENSMUSG00000010097,10482,53319
NXF2,Nxf2,ENSG00000269405,ENSMUSG00000009941,56001,83454
NXF2,Nxf7,ENSG00000269405,ENSMUSG00000031410,56001,170722
NXF2B,Nxf2,ENSG00000269437,ENSMUSG00000009941,728343,83454
NXF2B,Nxf7,ENSG00000269437,ENSMUSG00000031410,728343,170722
NXF3,Nxf3,ENSG00000147206,ENSMUSG00000057000,56000,245610
NXN,Nxn,ENSG00000167693,ENSMUSG00000020844,64359,18230
NXN,Nxn,ENSG00000280563,ENSMUSG00000020844,64359,18230
NXN,Nxn,ENSG00000281300,ENSMUSG00000020844,64359,18230
NXNL1,Nxnl1,ENSG00000171773,ENSMUSG00000034829,115861,234404
NXNL2,Nxnl2,ENSG00000130045,ENSMUSG00000021396,158046,75124
NXPE2,Nxpe2,ENSG00000204361,ENSMUSG00000032028,120406,78252
NXPE3,Nxpe3,ENSG00000144815,ENSMUSG00000075033,91775,385658
NXPE4,Nxpe4,ENSG00000137634,ENSMUSG00000044229,54827,244853
NXPH1,Nxph1,ENSG00000122584,ENSMUSG00000046178,30010,18231
NXPH2,Nxph2,ENSG00000144227,ENSMUSG00000069132,11249,18232
NXPH3,Nxph3,ENSG00000182575,ENSMUSG00000046719,11248,104079
NXPH4,Nxph4,ENSG00000182379,ENSMUSG00000040258,11247,104080
NXT1,Nxt1,ENSG00000132661,ENSMUSG00000036992,29107,56488
NXT2,Nxt2,ENSG00000101888,ENSMUSG00000042271,55916,237082
NYAP1,Nyap1,ENSG00000166924,ENSMUSG00000045348,222950,243300
NYAP2,Nyap2,ENSG00000144460,ENSMUSG00000054976,57624,241134
NYNRIN,Nynrin,ENSG00000205978,ENSMUSG00000075592,57523,277154
NYX,Nyx,ENSG00000188937,ENSMUSG00000051228,60506,236690
OAF,Oaf,ENSG00000184232,ENSMUSG00000032014,220323,102644
OARD1,Oard1,ENSG00000124596,ENSMUSG00000040771,221443,106821
OAS1,Oas1f,ENSG00000089127,ENSMUSG00000053765,4938,243262
OAS1,Oas1c,ENSG00000089127,ENSMUSG00000001166,4938,114643
OAS1,Oas1d,ENSG00000089127,ENSMUSG00000032623,4938,100535
OAS1,Oas1a,ENSG00000089127,ENSMUSG00000052776,4938,246730
OAS1,Oas1h,ENSG00000089127,ENSMUSG00000001168,4938,246729
OAS1,Oas1g,ENSG00000089127,ENSMUSG00000066861,4938,23960
OAS1,Oas1b,ENSG00000089127,ENSMUSG00000029605,4938,-1
OAS1,Oas1e,ENSG00000089127,ENSMUSG00000066867,4938,231699
OAS2,Oas2,ENSG00000111335,ENSMUSG00000032690,4939,246728
OAS3,Oas3,ENSG00000111331,ENSMUSG00000032661,4940,246727
OASL,Oasl1,ENSG00000135114,ENSMUSG00000041827,8638,231655
OAT,Oat,ENSG00000065154,ENSMUSG00000030934,4942,18242
OAZ1,Oaz1,ENSG00000104904,ENSMUSG00000035242,4946,18245
OAZ2,Oaz2,ENSG00000180304,ENSMUSG00000040652,4947,18247
OAZ3,Oaz3,ENSG00000143450,ENSMUSG00000028141,51686,53814
OBI1,Obi1,ENSG00000152193,ENSMUSG00000022120,79596,72486
OBP2A,Obp2a,ENSG00000122136,ENSMUSG00000062061,29991,227627
OBP2A,Lcn4,ENSG00000122136,ENSMUSG00000026919,29991,16821
OBP2A,Obp2b,ENSG00000122136,ENSMUSG00000079539,29991,383678
OBP2B,Obp2a,ENSG00000280584,ENSMUSG00000062061,29989,227627
OBP2B,Lcn4,ENSG00000171102,ENSMUSG00000026919,29989,16821
OBP2B,Obp2b,ENSG00000171102,ENSMUSG00000079539,29989,383678
OBP2B,Obp2b,ENSG00000280584,ENSMUSG00000079539,29989,383678
OBP2B,Obp2a,ENSG00000171102,ENSMUSG00000062061,29989,227627
OBP2B,Lcn4,ENSG00000280584,ENSMUSG00000026919,29989,16821
OBSCN,Obscn,ENSG00000154358,ENSMUSG00000061462,84033,380698
OBSL1,Obsl1,ENSG00000124006,ENSMUSG00000026211,23363,98733
OC90,Oc90,ENSG00000253117,ENSMUSG00000015001,729330,18256
OCA2,Oca2,ENSG00000277361,ENSMUSG00000030450,4948,18431
OCA2,Oca2,ENSG00000104044,ENSMUSG00000030450,4948,18431
OCEL1,Ocel1,ENSG00000099330,ENSMUSG00000002396,79629,77090
OCIAD1,Ociad1,ENSG00000109180,ENSMUSG00000029152,54940,68095
OCIAD2,Ociad2,ENSG00000145247,ENSMUSG00000029153,132299,433904
OCLN,Ocln,ENSG00000273814,ENSMUSG00000021638,100506658,18260
OCLN,Ocln,ENSG00000197822,ENSMUSG00000021638,100506658,18260
OCM,Ocm,ENSG00000122543,ENSMUSG00000029618,654231,18261
OCM2,Ocm,ENSG00000135175,ENSMUSG00000029618,4951,18261
OCRL,Ocrl,ENSG00000122126,ENSMUSG00000001173,4952,320634
OCSTAMP,Ocstamp,ENSG00000149635,ENSMUSG00000027670,128506,74614
ODAD2,Odad2,ENSG00000169126,ENSMUSG00000061802,55130,74934
ODAD3,Odad3,ENSG00000198003,ENSMUSG00000039632,115948,77609
ODAD4,Odad4,ENSG00000204815,ENSMUSG00000006784,83538,74407
ODAM,Odam,ENSG00000109205,ENSMUSG00000009580,54959,69592
ODAPH,Odaph,ENSG00000174792,ENSMUSG00000096035,152816,381651
ODC1,Odc1,ENSG00000115758,ENSMUSG00000011179,4953,18263
ODF1,Odf1,ENSG00000155087,ENSMUSG00000061923,4956,18285
ODF2,Odf2,ENSG00000136811,ENSMUSG00000026790,4957,18286
ODF2L,Odf2l,ENSG00000122417,ENSMUSG00000028256,57489,52184
ODF3,Odf3,ENSG00000177947,ENSMUSG00000025482,113746,69287
ODF3B,Odf3b,ENSG00000177989,ENSMUSG00000047394,440836,70113
ODF3L1,Odf3l1,ENSG00000182950,ENSMUSG00000045620,161753,382075
ODF3L2,Odf3l2,ENSG00000181781,ENSMUSG00000035963,284451,382384
ODR4,Odr4,ENSG00000157181,ENSMUSG00000006010,54953,226499
OFD1,Ofd1,ENSG00000046651,ENSMUSG00000040586,8481,237222
OGA,Oga,ENSG00000198408,ENSMUSG00000025220,10724,76055
OGDH,Ogdh,ENSG00000105953,ENSMUSG00000020456,4967,18293
OGDHL,Ogdhl,ENSG00000197444,ENSMUSG00000021913,55753,239017
OGFOD1,Ogfod1,ENSG00000087263,ENSMUSG00000033009,55239,270086
OGFOD2,Ogfod2,ENSG00000111325,ENSMUSG00000023707,79676,66627
OGFOD3,Ogfod3,ENSG00000181396,ENSMUSG00000025169,79701,66179
OGFR,Ogfr,ENSG00000060491,ENSMUSG00000049401,11054,72075
OGFRL1,Ogfrl1,ENSG00000119900,ENSMUSG00000026158,79627,70155
OGG1,Ogg1,ENSG00000114026,ENSMUSG00000030271,4968,18294
OGN,Ogn,ENSG00000106809,ENSMUSG00000021390,4969,18295
OGT,Ogt,ENSG00000147162,ENSMUSG00000034160,8473,108155
OIP5,Oip5,ENSG00000104147,ENSMUSG00000072980,11339,70645
OIT3,Oit3,ENSG00000138315,ENSMUSG00000009654,170392,18302
OLA1,Ola1,ENSG00000138430,ENSMUSG00000027108,29789,67059
OLAH,Olah,ENSG00000152463,ENSMUSG00000026645,55301,99035
OLFM1,Olfm1,ENSG00000130558,ENSMUSG00000026833,10439,56177
OLFM2,Olfm2,ENSG00000105088,ENSMUSG00000032172,93145,244723
OLFM3,Olfm3,ENSG00000118733,ENSMUSG00000027965,118427,229759
OLFM4,Olfm4,ENSG00000102837,ENSMUSG00000022026,10562,380924
OLFML1,Olfml1,ENSG00000183801,ENSMUSG00000051041,283298,244198
OLFML2A,Olfml2a,ENSG00000185585,ENSMUSG00000046618,169611,241327
OLFML2B,Olfml2b,ENSG00000162745,ENSMUSG00000038463,25903,320078
OLFML3,Olfml3,ENSG00000116774,ENSMUSG00000027848,56944,99543
OLIG1,Olig1,ENSG00000184221,ENSMUSG00000046160,116448,50914
OLIG2,Olig2,ENSG00000205927,ENSMUSG00000039830,10215,50913
OLIG3,Olig3,ENSG00000177468,ENSMUSG00000045591,167826,94222
OLR1,Olr1,ENSG00000173391,ENSMUSG00000030162,4973,108078
OMA1,Oma1,ENSG00000162600,ENSMUSG00000035069,115209,67013
OMD,Omd,ENSG00000127083,ENSMUSG00000048368,4958,27047
OMG,Omg,ENSG00000126861,ENSMUSG00000049612,101927057,18377
OMG,Omg,ENSG00000126861,ENSMUSG00000049612,4974,18377
OMP,Omp,ENSG00000254550,ENSMUSG00000074006,4975,18378
ONECUT1,Onecut1,ENSG00000169856,ENSMUSG00000043013,3175,15379
ONECUT2,Onecut2,ENSG00000119547,ENSMUSG00000045991,9480,225631
ONECUT3,Onecut3,ENSG00000205922,ENSMUSG00000045518,390874,246086
OOEP,Ooep,ENSG00000203907,ENSMUSG00000032346,441161,67968
OOSP2,Oosp2,ENSG00000149507,ENSMUSG00000055895,219990,225922
OOSP2,Oosp2,ENSG00000285422,ENSMUSG00000055895,219990,225922
OPA1,Opa1,ENSG00000198836,ENSMUSG00000038084,4976,74143
OPA3,Opa3,ENSG00000125741,ENSMUSG00000052214,80207,403187
OPALIN,Opalin,ENSG00000197430,ENSMUSG00000050121,93377,226115
OPCML,Opcml,ENSG00000183715,ENSMUSG00000062257,4978,330908
OPHN1,Ophn1,ENSG00000079482,ENSMUSG00000031214,4983,94190
OPLAH,Oplah,ENSG00000178814,ENSMUSG00000022562,26873,75475
OPN1LW,Opn1mw,ENSG00000102076,ENSMUSG00000031394,5956,14539
OPN1MW,Opn1mw,ENSG00000268221,ENSMUSG00000031394,2652,14539
OPN1MW2,Opn1mw,ENSG00000166160,ENSMUSG00000031394,728458,14539
OPN1MW3,Opn1mw,ENSG00000269433,ENSMUSG00000031394,101060233,14539
OPN1SW,Opn1sw,ENSG00000128617,ENSMUSG00000058831,611,12057
OPN3,Opn3,ENSG00000054277,ENSMUSG00000026525,23596,13603
OPN4,Opn4,ENSG00000122375,ENSMUSG00000021799,94233,30044
OPN5,Opn5,ENSG00000124818,ENSMUSG00000043972,221391,353344
OPRD1,Oprd1,ENSG00000116329,ENSMUSG00000050511,4985,18386
OPRK1,Oprk1,ENSG00000082556,ENSMUSG00000025905,4986,18387
OPRL1,Oprl1,ENSG00000125510,ENSMUSG00000027584,4987,18389
OPRL1,Oprl1,ENSG00000277044,ENSMUSG00000027584,4987,18389
OPRM1,Oprm1,ENSG00000112038,ENSMUSG00000000766,4988,18390
OPTC,Optc,ENSG00000188770,ENSMUSG00000010311,26254,269120
OPTN,Optn,ENSG00000123240,ENSMUSG00000026672,10133,71648
OR10A2,Olfr714,ENSG00000170790,ENSMUSG00000049674,341276,259035
